nome_token,moeda,direcao,total_transacoes,volume_usd,preco_medio_usd
Boi the Bear,BOI,SELL,2,17997.250502912426,22027.24640058328
BNBXBT,BNBXBT,BUY,2,23879.48804758896,5.644819550542179e-12
YieldFi yUSD,yUSD,SELL,13,791176.3177743619,0.9232787609846522
Graph Token,GRT,SELL,1,9973.570106208042,27057.39096969566
Snardler Wormfriend,SNARDLER,BUY,2,46889.3690400085,3.13634910065111e-11
Russells Cat,MONTY,BUY,3,314889.09086025134,7.441317747174624e-7
SideShift Token,XAI,BUY,6,105830.31204866427,0.14321108023812854
Ethereal Kitty,ETH?,BUY,1,6440.571425080978,1.5363511948618094e-11
Quick Sync,QS,SELL,3,31800.468938268503,270030.73282737134
PEPE TRUMP,$PTRUMP,SELL,1,10706.378122827715,292635810.46854633
AMERICA PARTY,AP,SELL,4,3817824.8977159224,1016150.3590674519
BlocksquareToken,BST,SELL,8,83601.51555195764,21115.20510412595
SPACEBALLS,SPACEBALLS,SELL,4,324720.3292863895,13205574.620524874
HYPE,HYPE,BUY,1,5349.052684247265,5.851412059274294e-7
Beefy,BIFI,SELL,5,333411.1860812201,14.870109759883018
Frax Share,FXS,BUY,65,21231140.289612517,2.099145835309255
PayPal USD,PYUSD,BUY,153,47619586.313652456,0.999452086641654
PHARAOH,PHAR,BUY,65,2167731.837663589,38086.59398178159
Alfred by Matt Furie,ALFRED,SELL,2,365373.3145398637,2787465.2601611326
Nitefeeder,NITEFEEDER,SELL,4,96962.57141806433,457496871308.9419
Coge,COGE,BUY,1,6881.054406870399,7.842324757995081e-9
WrappedM by M^0,wM,SELL,29,41394853.957912885,0.9998423811042274
ParaFi Capital,PFC,SELL,1,20795.433112000195,208472143.08814922
Tesla Robotaxi,Robotaxi,SELL,1,5425.621992864104,11093679011.343819
Miss Piggy,PIGGY,BUY,2,22836.26550889715,0.00002071237489771429
NAILONG,NAI,BUY,1,5136.241460821981,2.5337060042940296e-10
LABUBU,LABUBU,BUY,26,8427364.338737195,0.0000024856463432146077
Wormhole Token,W,SELL,4,40498.11711446373,35099.54775537349
LushAI,LUSH,SELL,4,50095.26844151091,3595801.858222705
Gemach,GMAC,BUY,1,6339.240131603908,8.003272201569004e-7
Dragon,DRGN,BUY,8,281392.21418446396,0.000026173206079306365
RedAgent AI,REDAI,SELL,4,1877744.7871427499,465583.97292289673
Bold Stablecoin,Bold,SELL,27,2166657.7568722996,1.003481733352871
Wrapped Hypertensor,TENSOR,SELL,10,276995.12121028657,0.09475106130167729
Aave (PoS),AAVE,SELL,175,20916313.14617804,7.429920813873773
Strike Token,STRK,BUY,2,22223.72430015021,0.0023984530676819747
ORCHAIN AI,ORAI,BUY,2,71872.75132738972,3.195900293001495e-8
Morpheus.Network,MNW,BUY,2,15207.875730466489,0.000031965959781925414
Xybertic,XYB,BUY,2,48911.73803876865,1.3381683757460582e-7
Maple Token,MPL,SELL,22,1373956.239411687,33.14431743391876
SKY Governance Token,SKY,BUY,95,23400036.141367536,0.03379944643852409
Rollbit Coin,RLB,SELL,68,3805555.3055003495,13524.672702000922
CRV (PoS),CRV,SELL,13,363423.758446764,1382.7603187547913
vitalik's plate number,VETH73015,BUY,1,19294.072182202555,1.145573086587885e-11
Milady,LADYS,BUY,12,573853.2372362366,2.0292050896746023e-11
BLOCKDAG,BDAG,SELL,2,11685.870396192982,116406147459.54114
Movement,MOVE,SELL,3,33669.40757898336,15161.81990661505
Mass Vehicle Ledger Token,MVL,BUY,2,15232.342980892847,0.000001254125891938676
President vs Elon,PVE,SELL,1,105592.62462031828,5238862.460167981
TOKEN2049 DUBAI,2049,BUY,2,177881.8486364267,4.4761088053966834e-7
ETH REVIVAL,ER,SELL,1,20653.657543395362,599183415.331917
SPACE ID,ID,BUY,3,27735.724714318876,0.18324116237419866
Bitcoin 2.0,BTC2.0,BUY,1,9423.280084539227,0.000012484299115779401
DYAD Stable,DYAD,SELL,3,30275.518440500215,1.0018649507315287
Mascot of Matt Furie,PEPE,BUY,2,58424.11009087073,5.328115352725357e-8
Robonomics,XRT,SELL,2,24897.422950136715,1034.6959560912064
Wootrade Network,WOO,BUY,9,263506.4083274179,0.00003348733640074555
BobaCat,PSPS,SELL,8,98312.01752747197,490353.99073471164
Rizz AI,RIZZ,SELL,4,109023.08707519315,7769190.245042377
Based Bitch,BITCH,SELL,1,15313.727501402504,7663530916.593915
PPMT,PPMT,BUY,1,24835.007881428723,4.5490236264394037e-11
Bono AI,BONO,SELL,1,35061.48975609205,11544632.857762212
Savings USDS,sUSDS,SELL,161,299656277.2393112,4.867761837944118
Courage The Dog,CCDOG,SELL,4,70540.8179880841,1103751.0972661187
Bone Licker ?? ???? ?????,BONELICKER,BUY,1,315443.7262783773,4.314636526784678e-7
Robonomics,XRT,BUY,3,16768.753874034035,0.0010095100142771135
DODO,DODO,SELL,2,13248.804926457895,26333.390906456814
Rumpel kPt Symbiotic S1,kpSYM-1,SELL,1,26213.339160808624,871.455738201225
Axira AI,AXI,BUY,3,62049.6606377791,3.9315356299980086e-8
Groggo By Matt Furie,GROGGO,BUY,1,7099.344600737499,2.3454126809765827e-7
Trump vs Elon,TVE,BUY,1,473227.10448276147,5.133405721418301e-7
BOBO,BOBO,SELL,33,3190914.5563848224,5387907981.015919
Tether USD,USDT.e,SELL,18,245430.71369776485,9.193395595183576
Doc Holliday Dog,DOC,BUY,1,21612.580822364613,2.20804858897103e-11
ArcadiaOS,ARCOS,SELL,7,394180.02730272064,2133166.1032309937
Sophon,SOPH,BUY,13,644828.6789561983,0.000017772219931302386
Battle Toads,BTOADS,SELL,1,11157.635946105707,12803948.382349897
Fluence,FLT,SELL,7,190279.65823790323,50904.7418146574
railgun,RAILGUN,SELL,1,9197.527103491211,2130711.6267803297
Doge by Matt Furie,DOGE,BUY,3,809760.3594700221,1.3886060936544163e-9
Matt Furie's Daughter,URSULA,BUY,2,187725.64553926355,0.0000010322774624377155
Dogei,DOGEI,BUY,2,110909.88022600178,2.6456754970970256e-10
FROGGER,FROGGER,BUY,18,1071330.8831997542,0.0000010917751010191015
MOKOKO,MOKOKO,BUY,1,74247.8778037136,4.2457718501464694e-14
USELESS COIN,USELESS,BUY,1,50561.21401947105,2.154258189997367e-8
?CRACKLER BY MATT FURIE,?CRACKLER,SELL,1,5632.759272423717,39525732932.216484
DOGDRAGON By Matt Furie,DOGDRAGON,BUY,3,42603.6294370305,3.288005137749608e-8
Dark Elon,DELON,BUY,1,5041.5023839726655,5.2085372084586373e-11
Lets Go Brandon,LETSGO,SELL,3,38740.03385357856,190462878655.85693
Serendale,DFK,BUY,2,43316.02481393116,4.859277637219693e-7
Solaxy,SOLX,BUY,17,3614626.9504076554,1.5770060506395058e-7
Courage The Dog,CCDOG,BUY,4,70950.389970786,6.436948636209394e-7
World #1 Hardcore,KekiusMaximus,SELL,1,369420.4298417713,1714423.726998711
USD Coin,USDC.e,BUY,53,674086.5905213548,1.800523726769515
Alephium (AlphBridge),ALPH,SELL,11,157479.13987415543,476.9737346025651
Invinos,VINOS,BUY,5,175313.97746498496,0.000004981932211936425
Injective Token,INJ,BUY,17,534423.0714404343,0.004984294097267617
Rai Reflex Index,RAI,BUY,4,54852.269625667446,2.9862514231509185
Book Of Labubu,BOL,BUY,2,63497.387835083544,3.24365261831283e-8
Acid Toad,TOAD,SELL,1,13379.550504658204,5446451.64396139
REVV,REVV,SELL,2,22213.340094259973,1010322.096746479
Ether,ETH,BUY,61,1583663.5990664046,1993.7313209456008
OX Coin,OX,BUY,1,5391.6261677948,0.0008882260271367107
BoxBet,BXBT,BUY,5,73871.93051290403,0.000008509755153211907
Costco,Costco,BUY,4,239330.151427175,2.806179552200195e-10
Trumpepe,TRUMPEPE,BUY,1,16572.473860131766,7.089339614256355e-8
BVM,BVM,BUY,1,6680.228759416951,0.000012048459741650117
Coinbase Wrapped BTC,cbBTC,SELL,190,539007837.3556396,0.5973899093249989
Metronome Synth ETH,msETH,SELL,20,1402789.2049025837,0.9988297314567955
Beckos,BECKOS,BUY,7,785872.8628200301,2.4910001707441055e-13
BNB,BNB,SELL,5,82579.95898896093,3.408490999220831
Veritaseum,VERI,BUY,2,16081.221710609949,0.012960845591394588
WOLFI,WOLFI,BUY,33,5143188.187980981,0.010153877349300119
LAKE,LAK3,BUY,5,111907.24281166638,0.00010452811217768019
LinqAI,LNQ,SELL,10,126360.8209516748,58136.884207812414
Orion Protocol,ORN,BUY,7,129168.48107194254,0.00011444135182346672
FrogNation,FRNA,BUY,13,2585331.1500380184,0.000009794674776385499
EonIQ,EONIQ,SELL,6,296397.0694896262,19186737.85910729
Pepe by Donald R. Christensen,PEPE,SELL,1,5040.778675391697,77532972491.22849
Elaine,Elaine,SELL,1,5051.967661450195,1375390.3603089426
Ispolink Token,ISP,SELL,1,12879.384846999152,6842517.913728055
THE CRYPTO MEME,TCM,SELL,2,1736108.9717620013,1238704.22528125
MANTRA DAO,OM,BUY,22,933932.5203362594,0.00014750242788874558
Moo Cow,MOOCOW,BUY,6,128633.68644852508,6.785464482173819e-10
ETHBonds,ETHBonds,SELL,2,36395.64974919488,8684760.285982398
Babypepe by Matt Furie,BABYPEPE,SELL,1,277690.22185992025,2628212.8940420724
AiBear,AiBear,SELL,2,68673.72070905019,28193841.388962083
DarthVaderTrumpPepe69Inu,FURIE,SELL,1,54391.583917991666,48012867.85133699
ether.fi BTC,eBTC,BUY,119,25933577.007543746,0.99785421675146
JasmyCoin,JASMY,SELL,16,430885.0555718505,148582.85366572728
Magic Internet Money,MIM,BUY,22,1950640.1848170038,0.15054805753745004
Wardeum AI,WAI,BUY,3,1516797.4350048816,1.805479507904961e-9
Bubsy AI,BUBSY,BUY,5,36990.60202117216,0.000005284727383476158
Multichain,MULTI,BUY,2,19380.53301630931,0.00023158644686663174
Edge,EDGE,BUY,23,393288.16682776745,0.0003567577546876391
QSTAR,Q*,SELL,3,39270.49998281541,12823324.861270236
Medusa,Medusa,BUY,2,58702.22398274942,6.112067326151569e-8
Liquid Staking Matic (PoS),MaticX,BUY,24,4269317.210320346,1.1584012169802007
DRIP,DRIP,SELL,2,33272.083716967856,225280.99869884434
DeCenter AI,DeAI,BUY,5,40990.58646131917,0.0000019260121029157687
infraX,INFRA,SELL,8,114265.79266896022,576.4711065270947
GoGoPool Liquid Staking Token,ggAVAX,SELL,84,14424037.159542426,0.8932678637760422
SmartCoin,SMRT,BUY,1,8657.816831943577,2.166634870756448e-7
DMa-xAI,DMa-xAI,SELL,1,39840.004183741534,34249530347.229366
USIC Token,USI,SELL,1,45345.96868204647,4414530.798422674
NeuralAI,NEURAL,SELL,24,1036384.5947545583,670.2186337340372
T3,T3,BUY,16,385876.74592052284,13.572129950769122
ISLAND,ISLAND,SELL,1,5364.159709160786,130795.73883821256
Mumu,MUMU,SELL,3,40114.13274575901,964570068000.7057
VERA,VRA,SELL,33,1161592.7150967494,1087776.7925462204
Ouroboros,ORX,SELL,4,67319.76294773348,0.000007818337277516038
Pepita,PEPITA,SELL,1,32740.593910215895,152330479.60221618
Bear,BEAR,SELL,1,9303.95507510746,69946995.71880141
Book of Ethereum,BOOE,SELL,37,1699509.585972221,13026.879387898638
Marie Rose,MARIE,BUY,8,1426966.522756214,0.000001077957627326049
CLOAK,CLOAK,BUY,6,38405.261749250196,0.000002572830563905934
ETH Foundation Treasury Policy,EFTP,SELL,1,10126.720899159323,101691440.19694342
ArenaToken,ARENA,SELL,97,7672891.371254543,1875.211493144053
Wrapped Ampleforth,WAMPL,SELL,14,366810.4399937941,679.9863325684909
Pepes Dog,ZEUS,SELL,13,1828983.0333485596,147494382600.33014
Gnome in bits,GNOME,SELL,2,350461.63241248846,809671.6972066646
RichFrogPoorFrog,RICHPOOR,BUY,1,26197.54650871536,1.6979649559299158e-7
Rarible,RARI,SELL,5,84715.43848745806,2457.366413675392
Dawg Coin,DAWG,BUY,1,7575.759424045327,7.291925967183627e-8
Doge Gork,DORK,BUY,2,23215.73421205314,6.366169209935352e-12
Wrapped Matic,WMATIC,BUY,633,48613677.13231548,25035697.8345636
Uniswap,UNI,BUY,153,127443673.93100046,3192.656251399706
AVAX HAS NO CHILL,NOCHILL,SELL,17,455245.13257543585,4348.5879070225765
GoGoPool Protocol,GGP,BUY,17,233215.9392063905,0.12709473597598586
TerraUST,UST,SELL,6,568642.8944106975,1130716.6715486976
PUNDI AI,PUNDIAI,SELL,1,21230.769443652345,115088763408.6313
FOX,FOX,SELL,24,1041577.1601912263,82364.9771036012
Atoshi,ATOS,BUY,17,2343894.421640851,0.000025686239393861055
Landwu,LANDWU,BUY,1,7496.0528134940305,5.642390264631813e-13
Dexe,DEXE,BUY,8,243913.36401783646,0.004119888533612687
Track-It,TIT,SELL,1,20368.535575536203,10165436.469921717
Miniature Woolly Mammoth,WOOLLY,BUY,7,3446534.5884216432,0.0000032986068891783347
CSI888,CSI,BUY,1,10687.114900805422,2.0243074896214005e-7
Omni AI Protocol,OMNI,BUY,2,770744.7253711341,4.009004258821106e-7
Big Time,BIGTIME,SELL,3,17133.248333767777,11206.812524399
THE TRUTH,UFO,SELL,4,38520.27932657624,8637020745.042759
LrtSquare,LRT2,BUY,21,944089.2506736863,0.3796394132557837
Nemo Sum,NEMO,BUY,3,24891.861725066323,6.509552343560737e-8
COTI Token,COTI,BUY,5,45046.03773821013,0.8243115642929706
Wrapped AVAX (Wormhole),WAVAX,SELL,3,23606.451675407618,114.68911943334763
SingularityNET Token,AGIX,BUY,21,207753.2612692118,0.032926015823506946
Ambire Wallet,WALLET,SELL,3,24164.00404973139,172590.89826996528
Paper Rad,PAPERRAD,SELL,1,50725.654033767256,30827882894025.117
America Party,AMERICA,BUY,1,140682.13282379758,6.128424109210689e-7
ArenaToken,ARENA,BUY,88,7533885.275811111,26.602219706272138
Enrique,ENRIQUE,SELL,1,7907.736085592414,52224039415.80262
Gluwa Creditcoin Vesting Token,G-CRE,SELL,3,30600.61789355605,3775.870245572119
Aped,APED,BUY,2,40277.61505790487,0.00014335409531602514
Izzy,IZZY,BUY,18,1218508.0371263004,0.0000013642677945441544
BananaCat,BCAT,SELL,8,93783.16352942279,908175.2280258227
Dinero Governance Token,DINERO,BUY,26,860593.3576590652,0.000006003138558941445
Wife Changing Money,WIFE,SELL,25,10491322.78427874,98885.40743913948
Tether USD (Wormhole),USDT,SELL,56,4398500.14282074,0.21869409692355504
MemeLinked,MK,SELL,12,295284.43465648236,23806.28589893501
Frank,Frank,SELL,2,214042.69651848663,20245568073.553474
Coro Chan,Coro Chan,BUY,1,16042.064340786146,0.000008356206180009319
LightLink,LL,BUY,6,66980.3261921254,0.000006165730318439115
FUEL,FUEL,SELL,20,340711.70199915505,120990.67111697598
BOLD Stablecoin,BOLD,BUY,20,3402086.3261060733,0.9970139275725755
Turbo,TURBO,SELL,24,970933.7806996495,504379.37231919303
ApeCoin,APE,SELL,14,806800.319368175,3806.578360791712
MON,MON,BUY,1,25679.780026044955,0.000008942418435965527
Matt Season,MATTSEASON,BUY,5,309160.157080838,7.870168864438282e-7
Bubble,BUBBLE,SELL,1,9955.642933584428,2572786.7456889553
Gyro Dollar,GYD,BUY,53,1857932.727313558,0.9815060319468651
Ethervista,VISTA,BUY,8,346538.77095988666,0.003183085042943132
Qubic AI,QUBIC,BUY,1,8153.391860641501,7.100929786809098e-7
AuraNeural AI,AURAI,BUY,2,526881.6435124628,0.0000010311539537610675
FartCoin,FART,SELL,1,7158.096240234375,7512.692307692308
Charlie,CHARLIE,BUY,9,176778.4534469138,1.5520798641026115e-7
ROAI SCALPER,ROAI,SELL,1,81171.02721470899,1406744.5529157678
Telcoin (PoS),TEL,BUY,28,469673.15540423914,0.007943870117609846
That Little Puff,PUFF,BUY,1,6483.41160396791,6.864847305338143e-9
Rai Reflex Index,RAI,SELL,4,67999.8552486875,219.82332543225138
Laika,LAIKA,SELL,4,33902.15652339144,36276.56913637514
Matt Furies First Meme,TUSK,SELL,4,83215.61294572757,5677629.149432767
KuCoin Token,KCS,SELL,16,560718.5333697905,223.7558690760263
1pantsdownpee by Matt Furie,PANTSPEPE,SELL,1,30241.064328823337,6461742.541209538
Osirium,OSIRAI,SELL,1,22466.499476402045,14632993.477101458
Gud Mornin,GMPEPE,BUY,2,218268.72965612606,2.410860179708629e-7
Dawgz AI,DAGZ,SELL,7,629511.5488489722,614604.1432619476
Chintai Exchange Token,CHEX,BUY,39,4696108.0005274685,0.00008508182162651327
OpSec AI,OSAI,BUY,3,1483438.0281967083,0.000008563767116314489
Puush The Button,PUUSH,BUY,1,8438.338837874095,3.0824427371514205e-15
O`Malley,OMALLEY,SELL,1,21756.28886184517,43459204455.53274
Labubu's boy friend,TYCOCO,BUY,2,27860.308000204117,6.053208672580974e-8
Big Back Bitcoin,BBBTC,BUY,10,1089602.5982171227,4.7946511555204526e-8
Chinese Andy,ANDWU,SELL,8,591663.9247761915,510197605258.5685
Smileeyes Cactushead,CACTUS,SELL,1,16346.717102409093,238398703.79945308
Data Ownership Protocol,DOP,BUY,1,5859.637746010827,6.925259223714193e-8
XiaoBai,XIAO,BUY,3,294952.84851209854,1.578241856503965e-10
Coupon Assets Token,CA,SELL,1,10396.318902124958,10156.883093160293
StarLink,STARL,BUY,5,54458.152248641185,2.0947749025688512e-10
Morpheus.Network,MNW,SELL,1,9704.61844714244,36091.03004602854
Everest By Matt Furie,EVEREST,SELL,2,529181.3494339903,1783305.5872334726
Arbius,AIUS,BUY,10,94458.98717934664,0.005948088228552919
Eagle,EAGLE,SELL,14,670321.2717373987,119.14620291560013
Ethereum Treasury Strategy,ETS,BUY,8,670558.8352552212,0.000004900443822640781
Space Economy Token,SET,BUY,10,301635.91621910926,0.00541951012690996
chainpal,CPAL,BUY,5,75635.94528717542,0.00004737557572427837
Primary Care by Matt Furie,PRIMARYCARE,SELL,1,9597.371284740877,233656811.17753214
Mog Coin,Mog,SELL,69,49631783.25101542,2305371269.972604
Oggie,OGGIE,BUY,5,82461.98353116319,3.0310294701952925e-7
StakeWise,SWISE,BUY,7,143802.78788162244,0.00000663155390255616
Wrapped A7A5 1.0,wA7A5,SELL,30,6535888.5176643245,80.15946593291613
Toki,TOKI,BUY,3,30246.85570427839,2.1797666909151264e-8
OpenServ,SERV,SELL,46,4491274.755489379,50842.33262605131
ETHEREUM SCROLL,ESCROLL,BUY,1,8717.137324079305,3.1524785458994575e-16
gib,gib,SELL,4,644138.8714703216,14708766.29385968
Non-Playable Coin,NPC,BUY,36,3527409.115337414,0.000006218408775423663
Pepe Aura,PEPE,BUY,1,12777.015656155767,3.656425777683014e-9
SolvBTC Babylon,SolvBTC.BBN,BUY,26,4539637.2676837165,0.9964318012564072
The Root Network,ROOT,BUY,5,88867.23279849178,0.0000017056492118752386
The Crypto Bear,TCB,SELL,1,35619.93552271571,20465093.871268697
Yes Chad,YES,BUY,1,5000.15460392085,2.0422226328533814e-8
MerchMinter,MRCHR,SELL,4,25959.032054395022,5672917.7168851765
